frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,frontSightDistance,backSightDistance,dhw,thw,ttc,precedingXVelocity,precedingId,followingId,leftPrecedingId,leftAlongsideId,leftFollowingId,rightPrecedingId,rightAlongsideId,rightFollowingId,laneId
8886,716,2.85,20.99,4.75,1.87,32.04,0.18,-0.06,-0.0,407.35,4.35,17.78,0.55,17.65,31.04,715,0,0,0,0,712,0,0,6
8887,716,4.03,21.0,4.75,1.87,32.04,0.18,-0.06,-0.01,406.03,5.66,17.86,0.55,17.77,31.04,715,0,0,0,0,712,0,0,6
8888,716,5.23,21.0,4.75,1.87,32.04,0.18,-0.06,-0.01,404.82,6.87,17.91,0.56,17.86,31.04,715,0,0,0,0,712,0,0,6
8889,716,6.47,21.01,4.75,1.87,32.04,0.17,-0.06,-0.02,403.46,8.24,17.92,0.56,17.9,31.04,715,0,0,0,0,712,0,0,6
8890,716,7.72,21.02,4.75,1.87,32.04,0.17,-0.05,-0.02,402.24,9.45,17.92,0.56,17.91,31.04,715,0,0,0,0,712,0,0,6
8891,716,8.99,21.03,4.75,1.87,32.03,0.17,-0.06,-0.02,400.93,10.76,17.9,0.56,17.9,31.04,715,0,0,0,0,712,0,0,6
8892,716,10.26,21.03,4.75,1.87,32.03,0.17,-0.06,-0.03,399.61,12.08,17.87,0.55,17.88,31.04,715,0,0,0,0,712,0,0,6
8893,716,11.54,21.04,4.75,1.87,32.03,0.17,-0.06,-0.03,398.4,13.29,17.83,0.55,17.85,31.04,715,0,0,0,0,712,0,0,6
8894,716,12.82,21.05,4.75,1.87,32.03,0.16,-0.06,-0.03,397.04,14.65,17.79,0.55,17.82,31.04,715,0,0,0,0,712,0,0,6
8895,716,14.11,21.05,4.75,1.87,32.03,0.16,-0.07,-0.04,395.77,15.92,17.75,0.55,17.78,31.03,715,0,0,0,0,712,0,0,6
8896,716,15.39,21.06,4.75,1.87,32.02,0.16,-0.07,-0.04,394.51,17.18,17.69,0.55,17.73,31.03,715,0,0,0,0,712,0,0,6
8897,716,16.68,21.07,4.75,1.87,32.02,0.15,-0.08,-0.04,393.2,18.49,17.64,0.55,17.69,31.03,715,0,0,0,0,712,0,0,6
8898,716,17.97,21.07,4.75,1.87,32.02,0.15,-0.09,-0.04,391.93,19.76,17.59,0.55,17.64,31.03,715,0,0,0,0,712,0,0,6
8899,716,19.27,21.08,4.75,1.87,32.02,0.15,-0.1,-0.05,390.52,21.17,17.53,0.54,17.59,31.02,715,0,0,0,0,712,0,0,6
8900,716,20.56,21.08,4.75,1.87,32.01,0.14,-0.11,-0.05,389.31,22.38,17.49,0.54,17.57,31.02,715,0,0,0,0,712,0,0,6
8901,716,21.84,21.09,4.75,1.87,32.01,0.14,-0.12,-0.05,388.04,23.65,17.45,0.54,17.54,31.02,715,0,0,0,0,712,0,0,6
