frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,frontSightDistance,backSightDistance,dhw,thw,ttc,precedingXVelocity,precedingId,followingId,leftPrecedingId,leftAlongsideId,leftFollowingId,rightPrecedingId,rightAlongsideId,rightFollowingId,laneId
14554,1227,405.58,8.48,4.24,1.82,-33.68,0.09,-0.09,0.01,407.52,1.92,45.98,1.36,60.94,-32.92,1225,0,1219,0,0,1226,0,0,3
14555,1227,404.34,8.48,4.24,1.82,-33.68,0.1,-0.09,0.01,406.11,3.39,46.06,1.36,59.99,-32.91,1225,0,1219,0,0,1226,0,0,3
14556,1227,403.06,8.48,4.24,1.82,-33.68,0.1,-0.09,0.02,404.75,4.75,46.09,1.37,58.99,-32.9,1225,0,1219,0,0,1226,0,0,3
14557,1227,401.75,8.49,4.24,1.82,-33.69,0.11,-0.09,0.02,403.43,6.02,46.09,1.37,57.98,-32.89,1225,0,1219,0,0,1226,0,0,3
14558,1227,400.43,8.49,4.24,1.82,-33.69,0.11,-0.09,0.03,402.07,7.43,46.07,1.36,56.97,-32.88,1225,0,1219,0,0,1226,0,0,3
14559,1227,399.1,8.5,4.24,1.82,-33.69,0.11,-0.09,0.03,400.7,8.85,46.05,1.36,55.97,-32.87,1225,0,1219,0,0,1226,0,0,3
14560,1227,397.75,8.5,4.24,1.82,-33.7,0.12,-0.09,0.04,399.34,10.21,46.01,1.36,55.0,-32.86,1225,0,1219,0,0,1226,0,0,3
14561,1227,396.41,8.5,4.24,1.82,-33.7,0.12,-0.09,0.04,397.97,11.58,45.98,1.36,54.05,-32.85,1225,0,1219,0,0,1226,0,0,3
14562,1227,395.06,8.51,4.24,1.82,-33.71,0.13,-0.09,0.04,396.66,12.89,45.94,1.36,53.14,-32.84,1225,0,1219,0,0,1226,0,0,3
14563,1227,393.7,8.52,4.24,1.82,-33.71,0.13,-0.08,0.05,395.3,14.25,45.89,1.36,52.25,-32.83,1225,0,1219,0,0,1226,0,0,3
14564,1227,392.34,8.52,4.24,1.82,-33.71,0.14,-0.08,0.05,393.93,15.62,45.85,1.36,51.41,-32.82,1225,0,1219,0,0,1226,0,0,3
