frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,frontSightDistance,backSightDistance,dhw,thw,ttc,precedingXVelocity,precedingId,followingId,leftPrecedingId,leftAlongsideId,leftFollowingId,rightPrecedingId,rightAlongsideId,rightFollowingId,laneId
22959,2241,407.49,8.15,3.64,1.82,-30.34,-0.08,-0.01,0.01,406.15,3.13,54.41,1.79,24.86,-28.15,2234,0,2240,0,0,2227,0,0,3
22960,2241,406.37,8.14,3.64,1.82,-30.34,-0.08,-0.01,0.01,404.84,4.45,54.41,1.79,24.59,-28.13,2234,0,2240,0,0,2227,0,0,3
22961,2241,405.22,8.14,3.64,1.82,-30.34,-0.07,-0.02,0.02,403.67,5.61,54.38,1.79,24.3,-28.1,2234,0,2240,0,0,2227,0,0,3
22962,2241,404.06,8.14,3.64,1.82,-30.34,-0.06,-0.02,0.03,402.47,6.87,54.33,1.79,24.01,-28.08,2234,0,2240,0,0,2227,0,0,3
22963,2241,402.88,8.14,3.64,1.82,-30.34,-0.06,-0.02,0.03,401.35,7.98,54.28,1.79,23.72,-28.06,2234,0,2240,0,0,2227,0,0,3
22964,2241,401.69,8.14,3.64,1.82,-30.34,-0.05,-0.02,0.04,400.14,9.2,54.21,1.78,23.43,-28.03,2234,0,2240,0,0,2227,0,0,3
22965,2241,400.48,8.14,3.64,1.82,-30.34,-0.05,-0.02,0.04,398.87,10.41,54.13,1.78,23.14,-28.01,2234,0,2240,0,0,2227,0,0,3
22966,2241,399.26,8.14,3.64,1.82,-30.34,-0.04,-0.02,0.04,397.61,11.67,54.03,1.78,22.85,-27.98,2234,0,2240,0,0,2227,0,0,3
22967,2241,398.04,8.14,3.64,1.82,-30.34,-0.03,-0.02,0.04,396.35,12.94,53.92,1.77,22.57,-27.96,2234,0,2240,0,0,2227,0,0,3
22968,2241,396.82,8.14,3.64,1.82,-30.34,-0.03,-0.01,0.05,395.13,14.15,53.82,1.77,22.29,-27.93,2234,0,2240,0,0,2227,0,0,3
22969,2241,395.6,8.14,3.64,1.82,-30.35,-0.02,-0.01,0.05,393.92,15.36,53.71,1.77,22.02,-27.91,2234,0,2240,0,0,2227,0,0,3
22970,2241,394.38,8.14,3.64,1.82,-30.35,-0.02,-0.01,0.05,392.71,16.57,53.61,1.76,21.75,-27.89,2234,0,2240,0,0,2227,0,0,3
22971,2241,393.16,8.14,3.64,1.82,-30.35,-0.01,-0.0,0.05,391.5,17.79,53.5,1.76,21.49,-27.86,2234,0,2240,0,0,2227,0,0,3
